system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,0.4397955000167712,theta,rad,0.07971742642235816,-0.08980109591379833,-0.1821035846541159,-0.5463107539623477,0.036289065722936435,0.09346237291137788,0.12975143863431432,3.4765266563523265,0.28764341506566476,1.807316879247544,0.09393677523839114,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.4757299999473616,theta,rad,0.07637408085455283,-0.09624522403947605,-0.17648286702794796,-0.529448601083844,0.04168414417684022,0.08579088464528918,0.1274750288221294,3.476492978460649,0.2876462015587871,1.807334387300189,0.09310849607174536,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.5257299999473616,theta,rad,0.07134469049013559,-0.1048591348780448,-0.16793225847376264,-0.503796775421288,0.049479471753173965,0.07486853920426162,0.12434801095743558,3.4764467188113004,0.28765002914870774,1.8073584367569402,0.09195859395895994,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.5364050998585298,theta,rad,0.07021577673033638,-0.1066415332215392,-0.16599699724556793,-0.4979909917367038,0.05117587473528293,0.072518904694227,0.12369477942950993,3.4764370555574127,0.28765082871309455,1.8073634605681475,0.09171656512818804,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.5864050998585298,theta,rad,0.06468010601493679,-0.11470549850858316,-0.15642149916939357,-0.4692644975081807,0.0592080812464616,0.061538981020712286,0.12074706226717388,3.476393451481466,0.2876544366903723,1.8073861301579675,0.09061638915190567,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.5965808998094871,theta,rad,0.06350482258269945,-0.11628680397048931,-0.15437001072254633,-0.463110032167639,0.06085179349951954,0.05932363053438802,0.12017542403390756,3.476384995813712,0.28765513635693607,1.807390526292641,0.09040149102151816,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.6465808998094872,theta,rad,0.05750184208870923,-0.1237442419592418,-0.14378935012232125,-0.43136805036696374,0.0689068683813032,0.04864118129496312,0.11754804967626631,3.476346132905591,0.28765835212277396,1.8074107315453052,0.0894071476919371,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.6585716997273267,theta,rad,0.0560077761412965,-0.12545248958815577,-0.14112916513289384,-0.4233874953986815,0.0708224721473985,0.046146991603890415,0.11696946375128892,3.4763375749925,0.2876590602689549,1.8074151809589845,0.08918669345630324,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.7085716997273267,theta,rad,0.04956348810925754,-0.1322223804511445,-0.1295313017309192,-0.3885939051927576,0.0786724105147524,0.03614057728291,0.11481298779766241,3.476305679210531,0.28766169959688354,1.8074317643454465,0.08836019532670145,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.7187813997035847,theta,rad,0.048206828955864076,-0.1335322888134698,-0.12706389441895666,-0.38119168325687,0.08023892470093759,0.034189542483131365,0.11442846718406896,3.4762999920210906,0.2876621702083337,1.8074347212843955,0.08821201131674669,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.7687813997035847,theta,rad,0.04137653617184238,-0.13957474782504245,-0.11450331026425355,-0.34350993079276065,0.08766499603690887,0.02518874718671871,0.11285374322362758,3.4762767017600007,0.28766409747926885,1.8074468306848184,0.08760254622332136,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.7789815997239203,theta,rad,0.0399469350889727,-0.14072917386851763,-0.11184494183294624,-0.33553482549883873,0.0891211516997196,0.023478451013592774,0.11259960271331237,3.476272943072544,0.2876644085133714,1.8074487849697214,0.08750378947889108,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.8289815997239204,theta,rad,0.032776212165005605,-0.1459873241605753,-0.09835516101171898,-0.29506548303515695,0.09590534467004203,0.015806616297271658,0.11171196096731369,3.4762598151716784,0.2876654948619294,1.8074556106990194,0.08715798408180912,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.8649273997405545,theta,rad,0.02746720565188989,-0.14934135592708725,-0.08819818038859904,-0.2645945411657971,0.10036278265563431,0.01110099533700711,0.11146377799264141,3.476256144675025,0.2876657986011224,1.8074575191486542,0.08706105245683815,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.9149273997405546,theta,rad,0.019895959034256852,-0.15338567208354453,-0.07345843893177115,-0.22037531679531344,0.10587223980234294,0.005824728623769693,0.11169696842611262,3.4762595934393246,0.28766551321060146,1.8074557259871262,0.08715213156931,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.9521601997781547,theta,rad,0.014136680664775097,-0.1559093254648483,-0.06204140364796911,-0.18612421094390733,0.10938472995106797,0.002940681093266082,0.11232541104433405,3.476268887852963,0.2876647440864757,1.8074508934377198,0.08739711620551036,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.0021601997781546,theta,rad,0.0062702181864102025,-0.15861676643264563,-0.04615338587720445,-0.13846015763161335,0.11321675367096805,0.0005785276898536229,0.11379528136082168,3.476290627080662,0.2876629451547857,1.8074395904165566,0.08796745581154804,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.040350099769421,theta,rad,0.00018203005570979595,-0.16014104580017674,-0.03361754571006205,-0.10085263713018615,0.11540319547488437,4.875806570092677e-07,0.11540368305554138,3.476314415874007,0.2876609766463205,1.8074272219130911,0.08858735194821608,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.090350099769421,theta,rad,-0.007860060405980043,-0.16140180817167754,-0.01672685639496387,-0.05018056918489161,0.11722744656489148,0.0009090961067666947,0.11813654267165817,3.4763548374522637,0.2876576318466028,1.8074062059166494,0.08963082199377409,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.104671299736947,theta,rad,-0.010173075101450803,-0.16160610182575125,-0.01179689456968594,-0.03539068370905782,0.11752439466291786,0.001522863656364074,0.11904725831928194,3.4763683082679235,0.2876565171825085,1.8073992022755896,0.08997587348365595,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.154671299736947,theta,rad,-0.018260879465632363,-0.1617602253906847,0.005703590674877294,0.017110772024631883,0.117748667333003,0.004906723411175838,0.12265539074417883,3.4764216801299668,0.287652100927703,1.8073714541282828,0.09133014273921097,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.1588379664036137,theta,rad,-0.018934826622258483,-0.16173338399892737,0.007180728880422517,0.02154218664126755,0.11770959374885023,0.005275576882504951,0.12298517063135518,3.4764265584515663,0.2876516972777384,1.8073689179207564,0.09145292416578378,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.2088379664036137,theta,rad,-0.02700508875952067,-0.16092773684025094,0.02510316839999506,0.07530950519998518,0.11653981418036276,0.010730626805146826,0.12727044098550958,3.476489951798552,0.2876464519860479,1.8073359607810744,0.09303369602077792,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,1.2419414664308233,theta,rad,-0.03231641217659886,-0.15989778712311317,0.037143327951147775,0.11142998385344333,0.11505286047090786,0.015366280163139644,0.1304191406340475,3.4765365348151236,0.2876425977364792,1.8073117438168143,0.09417834315555108,1.0,3.0,0.05,1.0,1.808
